Página,Código,Nombre,Tono/Variante,Descripción,Promoción,Categoría,Marca,Imágenes
2,35418,PROMO: SET MAKEUP FEST,,"PROMOCIÓN: Por la compra de cada $40,000 de la página 4 a la 38 dentro de la categoria de maquillaje. No aplica a demostradores ni otras promociones. / Contiene: Sweet Black + Cyplay Creamy Lip Balm (Fuchsia creamy) 3 g + Magnetic Lash.",Sí (promo),Maquillaje,cyzone,https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_SC0005818.jpg
4,06252,CYPLAY CREAMY LIP BALM.,CHERRY CREAMY,Hidratante en barra para labios 24h FPS12.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_200118725.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_200118725_B.jpg"
6,10623,CYPLAY HYDRA KISS.,COCONUT,Labial líquido hidratante.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_200121506.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_200121506_B.jpg"
8,20460,CYPLAY HYDRA BOMB.,GRAPE,Labial hidratante full color FPS 15.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_200112290.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_200112290_B.jpg"
8,09930,CYPLAY ICE CREAM GLOSS.,CHERRY ICE,Brillo labial con sensación refrescante.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_200121010.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_200121010_B.jpg"
9,04789,CYPLAY X-TRA CREAM MATTE.,CHOCOLATE MATTE,Labial en barra mate.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_200106560.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_200106560_B.jpg"
10,14940,CYPLAY MATTE FILTER ON.,CHEESECAKE ON,Polvos compactos de rostro.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_210098840.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_210098840_B.jpg"
10,15387,CYPLAY IT'S COVER.,CLARO,Corrector en barra de cobertura construible.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_200107142.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_200107142_B.jpg"
11,10161,CYPLAY SAY CHEEK!.,CHERRY POP,Rubor compacto para rostro con textura suave y acabado parejo.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_200121105.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_200121105_B.jpg"
12,05933,CYPLAY LINE 4 EVER PINCEL.,BLACK MAGIC,Delineador para ojos punta pincel.,Sí (set),Maquillaje,cyzone,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/CO_200106604.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/C/productos/bulk/CO_200106604_B.jpg"
