Página,Código,Nombre,Tono/Variante,Descripción,Promoción,Categoría,Marca,Imágenes
2,08840,LABIAL HIDRABALM.,ROSA SMOOTHIE,Bálsamo con color hidratante 60H.,Sí (set),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200120232.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200120232_B.jpg"
4,03571,HIDRACOLOR MATTE.,ROSA MAGNOLIA,Labial líquido mate de larga duración.,Sí (set),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200117759.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200117759_B.jpg"
6,07033,LABIAL HIDRAGEL.,ROJO PODEROSO,Labial gel hidratante.,Sí (1x 2x),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200119025.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200119025_B.jpg"
8,04418,LABIAL ADDICTION MATTE.,ROJO LEYENDA,Labial mate hidratante.,Sí (set),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200117918.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200117918_B.jpg"
10,07860,COLORFIX DUO TATTOO.,VINO TRIUNFADOR,Labial 36H.,Sí (set),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200119655.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200119655_B.jpg"
12,00426,COLORFIX LABIAL 24H.,ROJO ENERGÍA,Labial mate 24H a prueba de todo.,Sí (set),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200116648.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200116648_B.jpg"
14,02327,COLORFIX LIQUID TATTOO.,VINO INTENSO,Labial líquido mate 24H.,Sí (set),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200117396.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200117396_B.jpg"
17,02078,MEGA FULL SIZE EXTENDER PRIMER.,NEGRO,Primer de pestañas negro efecto largo y cuidado.,Sí,Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200117345.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200117345_B.jpg"
17,35204,SET PRIMER,,Contiene: Mega Full Size Extender Primer (Negro) y Delineador en lápiz para ojos (Negro extremo).,Sí (set),Maquillaje,esika,https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_SE0016950.jpg
19,02630,MÁSCARA MEGA FULL SIZE APA.,NEGRO APA,Máscara efecto largo extremo a prueba de agua.,Sí (set),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200117468.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200117468_B.jpg"
21,21241,MÁSCARA MEGA TUBING EXTENSIONS.,AZUL,Máscara alargadora efecto extensiones.,Sí (set),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200116111.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200116111_B.jpg"
23,21224,MÁSCARA MEGA MULTI BENEFIT.,NEGRO,Máscara multibeneficios a prueba de agua.,Sí,Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200116082.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200116082_B.jpg"
24,21302,MÁSCARA MEGA FULL VOLUME.,NEGRO,Máscara efecto volumen extremo a prueba de agua.,Sí (1x 2x),Maquillaje,esika,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/CO_200116194.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/E/productos/bulk/CO_200116194_B.jpg"
