Página,Código,Nombre,Tono/Variante,Descripción,Promoción,Categoría,Marca,Imágenes
2,07570,LABIAL INFINI ABSOLU.,RED BURNT,Labial líquido no transfer con ácido hialurónico.,Sí (set),Maquillaje,lbel,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_200119293.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/bulk/CO_200119293_B.jpg"
4,07582,LABIAL INFINI ABSOLU.,TERRACOTA SOFT,Labial líquido no transfer con ácido hialurónico.,Sí (set),Maquillaje,lbel,"https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_200119302.jpg, https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/bulk/CO_200119302_B.jpg"
6,09765,MISS L'BEL,,Parfum. Concentración alta.,Sí,Perfumes,lbel,https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_200113646.jpg
8,05397,CONCENTRÉ 15% COMPLEJO CON ÁCIDO HIALURÓNICO,,Suero intensivo reductor de la apariencia de arrugas.,Sí,Tratamiento Facial,lbel,https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_200118460.jpg
11,10419,ESSENTIAL DESMAQUILLADOR BIFÁSICO 125 ML,,"Desmaquillador bifásico para ojos, rostro y labios.",Sí (1x 2x),Tratamiento Facial,lbel,https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_200121293.jpg
12,35164,SET EXTRAORDINARIOS,,"Contiene: Essential Desmaquillador Bifásico, Nuevo Miniperfume Miss L'Bel, Labial Infini Absolu (Terracota soft) y Edición Limitada Suero Reductor de Arrugas.",Sí (promo),Perfumes,lbel,https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_SL0019491.jpg
13,09818,MISS L'BEL. MINIPERFUME,,Eau de parfum. Concentración alta.,Sí,Perfumes,lbel,https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_200113650.jpg
13,10429,ESSENTIAL DESMAQUILLADOR BIFÁSICO 45 ML,,"Desmaquillador bifásico para ojos, rostro y labios.",Sí,Tratamiento Facial,lbel,https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_200121312.jpg
14,00265,MITHYKA EDICIÓN LIMITADA,,Parfum. Concentración alta.,Sí (1x 2x),Perfumes,lbel,https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_200116595.jpg
16,35000,LIASSON,,Parfum. Concentración muy alta. / Gratis: Crema Perfumada Corporal Liasson 130 ml.,Sí (set),Perfumes,lbel,https://catalogodigitalassets.somosbelcorp.com/CO/202604/L/productos/CO_SL0019363.jpg
