Página,Pagina,Código,Nombre ,descripción,Precio,TASA CAMBIO PESO A $,COSTO EN $,TT,% GASTOS 35%,TOTAL,TASA BINANCE,TOTAL Bs EN BINANCE,TASA BCV,PRECIO AL CATALAGO,PRECIO AL CATALAGO FINAL
2,2,35418,PROMO: SET MAKEUP FEST,PROMOCIÓN: Por la compra de cada 22$ de la página 4 a la 38 dentro de la categoria de maquillaje. No aplica a demostradores ni otras promociones. / Contiene: Sweet Black + Cyplay Creamy Lip Balm (Fuchsia creamy) 3 g + Magnetic Lash.,36990,"3.600,00","10,28",26%,"2,67","12,95","610,00","7.897,37","390,00","20,25","20,50"
3,4,06252,CYPLAY CREAMY LIP BALM.,Hidratante en barra para labios 24h FPS12.,14990,"3.600,00","4,16",26%,"1,08","5,25","610,00","3.200,37","390,00","8,21","8,50"
4,6,10623,CYPLAY HYDRA KISS.,Labial líquido hidratante.,13990,"3.600,00","3,89",26%,"1,01","4,90","610,00","2.986,87","390,00","7,66","8,00"
5,8,20460,CYPLAY HYDRA BOMB.,Labial hidratante full color FPS 15.,9990,"3.600,00","2,78",26%,"0,72","3,50","610,00","2.132,87","390,00","5,47","5,50"
6,8,09930,CYPLAY ICE CREAM GLOSS.,Brillo labial con sensación refrescante.,21990,"3.600,00","6,11",26%,"1,59","7,70","610,00","4.694,87","390,00","12,04","12,00"
7,9,04789,CYPLAY X-TRA CREAM MATTE.,Labial en barra mate.,15600,"3.600,00","4,33",26%,"1,13","5,46","610,00","3.330,60","390,00","8,54","8,50"
8,10,14940,CYPLAY MATTE FILTER ON.,Polvos compactos de rostro.,28990,"3.600,00","8,05",26%,"2,09","10,15","610,00","6.189,37","390,00","15,87","16,00"
9,10,15387,CYPLAY IT'S COVER.,Corrector en barra de cobertura construible.,17990,"3.600,00","5,00",26%,"1,30","6,30","610,00","3.840,87","390,00","9,85","10,00"
10,11,10161,CYPLAY SAY CHEEK!.,Rubor compacto para rostro con textura suave y acabado parejo.,20990,"3.600,00","5,83",26%,"1,52","7,35","610,00","4.481,37","390,00","11,49","11,50"
10,12,05933,CYPLAY LINE 4 EVER PINCEL.,Delineador para ojos punta pincel.,15600,"3.600,00","4,33",26%,"1,13","5,46","610,00","3.330,60","390,00","8,54","8,50"
11,12,05948,CYPLAY LINE 4 EVER PLUMÓN.,Delineador para ojos punta plumón.,15600,"3.600,00","4,33",26%,"1,13","5,46","610,00","3.330,60","390,00","8,54","8,50"
12,14,05710,CYPLAY BROW PEN.,Delineador retráctil para cejas.,21600,"3.600,00","6,00",26%,"1,56","7,56","610,00","4.611,60","390,00","11,82","12,00"
13,14,17808,CYPLAY EYE LINES.,Delineador en lápiz para ojos.,9900,"3.600,00","2,75",26%,"0,72","3,47","610,00","2.113,65","390,00","5,42","5,50"
14,15,01595,CYPLAY TWIST & ROLL.,Delineador retráctil para ojos.,15600,"3.600,00","4,33",26%,"1,13","5,46","610,00","3.330,60","390,00","8,54","8,50"
