Página,Pagina,Código,Nombre ,Precio,TASA PESO A $,COSTO $,TT,% GASTOS 35%,TOTAL,TASA BINANCE,TOTAL Bs EN BINANCE,TASA BCV,PRECIO,PRECIO CATALAGO FINAL,
2,2,08840,LABIAL HIDRABALM.,18990,"3.600,00","5,28",26%,"1,37","6,65","560,00","3.722,04","390,00","9,54","9,50",
3,4,03571,HIDRACOLOR MATTE.,22990,"3.600,00","6,39",26%,"1,66","8,05","560,00","4.506,04","390,00","11,55","11,50",
4,"6,7",07033,"LABIAL HIDRAGEL              1X13$ 2X20,5$",24990,"3.600,00","6,94",26%,"1,80","8,75","560,00","4.898,04","390,00","12,56","13,00",
5,8,04418,LABIAL ADDICTION MATTE.,19990,"3.600,00","5,55",26%,"1,44","7,00","560,00","3.918,04","390,00","10,05","10,00",
6,10,07860,COLORFIX DUO TATTOO.,19990,"3.600,00","5,55",26%,"1,44","7,00","560,00","3.918,04","390,00","10,05","10,00",
7,12,00426,COLORFIX LABIAL 24H.,22990,"3.600,00","6,39",26%,"1,66","8,05","560,00","4.506,04","390,00","11,55","11,50",
8,14,02327,COLORFIX LIQUID TATTOO.,27990,"3.600,00","7,78",26%,"2,02","9,80","560,00","5.486,04","390,00","14,07","14,50",
9,17,02078,MEGA FULL SIZE EXTENDER PRIMER.,29990,"3.600,00","8,33",26%,"2,17","10,50","560,00","5.878,04","390,00","15,07","15,50",
10,17,35204,"SET PRIMER         SOLO 15,5$     EN SET 19$",37990,"3.600,00","10,55",26%,"2,74","13,30","560,00","7.446,04","390,00","19,09","19,00",
10,19,02630,MÁSCARA MEGA FULL SIZE APA.,20990,"3.600,00","5,83",26%,"1,52","7,35","560,00","4.114,04","390,00","10,55","10,50",
11,21,21241,MÁSCARA MEGA TUBING EXTENSIONS.,29990,"3.600,00","8,33",26%,"2,17","10,50","560,00","5.878,04","390,00","15,07","15,00",
12,23,21224,MÁSCARA MEGA MULTI BENEFIT.,29990,"3.600,00","8,33",26%,"2,17","10,50","560,00","5.878,04","390,00","15,07","15,00",
13,24,21302,"MÁSCARA MEGA FULL VOLUME    1X16,5$  2X 24,5$",29990,"3.600,00","8,33",26%,"2,17","10,50","560,00","5.878,04","390,00","15,07","15,00",
14,25,35327,PROMO: DESMAQUILLADOR BIFÁSICO 40ML,9990,"3.600,00","2,78",26%,"0,72","3,50","560,00","1.958,04","390,00","5,02","6,00",
16,27,08021,PLUMÓN EYE PRO.,17990,"3.600,00","5,00",26%,"1,30","6,30","560,00","3.526,04","390,00","9,04","9,00",
16,28,03617,PINCEL EYE PRO.,17990,"3.600,00","5,00",26%,"1,30","6,30","560,00","3.526,04","390,00","9,04","9,00",
17,29,03682,PLUMÓN EYE PRO.,17990,"3.600,00","5,00",26%,"1,30","6,30","560,00","3.526,04","390,00","9,04","9,00",
19,30,06187,"DELINEADOR EN LÁPIZ PARA OJOS   1X13$    2X20,5$    3X25$",25990,"3.600,00","7,22",26%,"1,88","9,10","560,00","5.094,04","390,00","13,06","13,00",
20,30,10304,"DELINEADOR EN LÁPIZ PARA CEJAS.                  """,25990,"3.600,00","7,22",26%,"1,88","9,10","560,00","5.094,04","390,00","13,06","13,00",
20,31,10610,"DELINEADOR KOHL.                                             """,25990,"3.600,00","7,22",26%,"1,88","9,10","560,00","5.094,04","390,00","13,06","13,00",
21,31,10572,"DELINEADOR EN LÁPIZ PARA LABIOS.              """,25990,"3.600,00","7,22",26%,"1,88","9,10","560,00","5.094,04","390,00","13,06","13,00",
22,32,07851,COLORFIX PLUMÓN TATTOO.,21990,"3.600,00","6,11",26%,"1,59","7,70","560,00","4.310,04","390,00","11,05","11,50",
22,32,19561,DELINEADOR LÁPIZ GEL.,18600,"3.600,00","5,17",26%,"1,34","6,51","560,00","3.645,60","390,00","9,35","9,50",
22,34,07842,PALETA DE SOMBRAS EYE PRO.,71990,"3.600,00","20,00",26%,"5,20","25,20","560,00","14.110,04","390,00","36,18","36,50",
23,35,18041,ESTUCHE 4 EN 1 PARA OJOS Y CEJAS,59990,"3.600,00","16,66",26%,"4,33","21,00","560,00","11.758,04","390,00","30,15","30,50",
24,35,17949,MÁSCARA TINT BROW PRO.,39990,"3.600,00","11,11",26%,"2,89","14,00","560,00","7.838,04","390,00","20,10","20,50",
24,36,20641,INSTANT PERFECTION. CORRECTOR FACIAL,18990,"3.600,00","5,28",26%,"1,37","6,65","560,00","3.722,04","390,00","9,54","9,50",
,37,21207,HIDRA PERFECTION. CORRECTOR FACIAL,18990,"3.600,00","5,28",26%,"1,37","6,65","560,00","3.722,04","390,00","9,54","9,50",
25,38,06050,BASE NATURAL MATTE.,35990,"3.600,00","10,00",26%,"2,60","12,60","560,00","7.054,04","390,00","18,09","18,00",
26,39,08719,COLORFIX BASE.,39990,"3.600,00","11,11",26%,"2,89","14,00","560,00","7.838,04","390,00","20,10","20,50",
26,40,06773,COLORFIX POLVOS 32H.,33990,"3.600,00","9,44",26%,"2,45","11,90","560,00","6.662,04","390,00","17,08","17,00",
27,41,17911,RUBOR COLOR STICK PRO.,39990,"3.600,00","11,11",26%,"2,89","14,00","560,00","7.838,04","390,00","20,10","20,00",
,42,19884,PERLAS BRONZE.,35990,"3.600,00","10,00",26%,"2,60","12,60","560,00","7.054,04","390,00","18,09","18,50",
28,45,35417,PROMO: VANILLA SCENT PROMOCIÓN: Por la compra de cada 33$ en productos de las categorías Fragancias y/o Maquillaje del catálogo ésika. / Eau de parfum.,39990,"3.600,00","11,11",26%,"2,89","14,00","560,00","7.838,04","390,00","20,10","21,00",
29,47,06945,ETERNALLY FOR HER,89990,"3.600,00","25,00",26%,"6,50","31,50","560,00","17.638,04","390,00","45,23","45,50",
30,47,35213,SET ETERNALLY FOR HER,94990,"3.600,00","26,39",26%,"6,86","33,25","560,00","18.618,04","390,00","47,74","48,00",
31,49,35201,AURA LILA,89990,"3.600,00","25,00",26%,"6,50","31,50","560,00","17.638,04","390,00","45,23","45,50",
31,50,35203,SET AURA LILA 1,91990,"3.600,00","25,55",26%,"6,64","32,20","560,00","18.030,04","390,00","46,23","46,50",
32,51,35202,SET AURA LILA 2,92990,"3.600,00","25,83",26%,"6,72","32,55","560,00","18.226,04","390,00","46,73","47,00",
32,52,07274,VIBRANZA,64990,"3.600,00","18,05",26%,"4,69","22,75","560,00","12.738,04","390,00","32,66","33,00",
33,54,07001,VIBRANZA BLANC,98990,"3.600,00","27,50",26%,"7,15","34,65","560,00","19.402,04","390,00","49,75","50,00",
34,54,08219,VIBRANZA LUMINOUS,98990,"3.600,00","27,50",26%,"7,15","34,65","560,00","19.402,04","390,00","49,75","50,00",
37,55,05122,VIBRANZA MUSIQUE,98990,"3.600,00","27,50",26%,"7,15","34,65","560,00","19.402,04","390,00","49,75","50,00",
38,57,35192,VIBRANZA ADDICTION,77990,"3.600,00","21,66",26%,"5,63","27,30","560,00","15.286,04","390,00","39,19","39,50",
39,58,35169,L'IMAGE,77990,"3.600,00","21,66",26%,"5,63","27,30","560,00","15.286,04","390,00","39,19","39,50",
40,61,35235,IMPREDECIBLE,67990,"3.600,00","18,89",26%,"4,91","23,80","560,00","13.326,04","390,00","34,17","34,50",
40,63,35172,EXPRESSION SENS,56990,"3.600,00","15,83",26%,"4,12","19,95","560,00","11.170,04","390,00","28,64","29,00",
41,64,08264,EXPRESSION,76990,"3.600,00","21,39",26%,"5,56","26,95","560,00","15.090,04","390,00","38,69","39,00",
41,65,35170,"SET EXPRESSION. Contiene: Expression, Talco perfumado Expression y Roll-on Expression.",79990,"3.600,00","22,22",26%,"5,78","28,00","560,00","15.678,04","390,00","40,20","40,50",
42,67,21133,CITY LOVE,59990,"3.600,00","16,66",26%,"4,33","21,00","560,00","11.758,04","390,00","30,15","30,50",
42,68,17380,RED INTENSE,89990,"3.600,00","25,00",26%,"6,50","31,50","560,00","17.638,04","390,00","45,23","45,50", 
43,69,21509,IMPREDECIBLE GLAMOUR,59990,"3.600,00","16,66",26%,"4,33","21,00","560,00","11.758,04","390,00","30,15","30,50",
43,71,19648,DREAM    2X49$,89990,"3.600,00","25,00",26%,"6,50","31,50","560,00","17.638,04","390,00","45,23","45,50",
43,71,08624,DREAM NOVA    2X49$,89990,"3.600,00","25,00",26%,"6,50","31,50","560,00","17.638,04","390,00","45,23","45,50",
