Página,Pagina,Código,Nombre ,Precio PESOS,TASA CAMBIO PESO A DÓLAR,COSTO EN $,TT,% DE GASTOS 35%,TOTAL,TASA BINANCE,TOTAL Bs EN BINANCE,TASA BCV,PRECIO $,PRECIO FINAL,
2,2,07570,LABIAL INFINI ABSOLU.,34990,"3.600,00","9,72",26%,"2,53","12,25","560,00","6.858,04","390,00","17,58","18,00",
3,4,07582,LABIAL INFINI ABSOLU.,34990,"3.600,00","9,72",26%,"2,53","12,25","560,00","6.858,04","390,00","17,58","18,00",
4,6,09765,MISS L'BEL,68990,"3.600,00","19,16",26%,"4,98","24,15","560,00","13.522,04","390,00","34,67","35,00",
5,8,05397,CONCENTRÉ 15% COMPLEJO CON ÁCIDO HIALURÓNICO,49990,"3.600,00","13,89",26%,"3,61","17,50","560,00","9.798,04","390,00","25,12","25,50",
6,11,10419,ESSENTIAL DESMAQUILLADOR BIFÁSICO 125 ML,45990,"3.600,00","12,78",26%,"3,32","16,10","560,00","9.014,04","390,00","23,11","2X        23,5",
7,12,35164,SET EXTRAORDINARIOS X LA COMPRA DE 35 $,59990,"3.600,00","16,66",26%,"4,33","21,00","560,00","11.758,04","390,00","30,15","30,50",
8,13,09818,MISS L'BEL. MINIPERFUME,35990,"3.600,00","10,00",26%,"2,60","12,60","560,00","7.054,04","390,00","18,09","18,50",
9,13,10429,ESSENTIAL DESMAQUILLADOR BIFÁSICO 45 ML,24990,"3.600,00","6,94",26%,"1,80","8,75","560,00","4.898,04","390,00","12,56","13,00",
10,14,00265,MITHYKA EDICIÓN LIMITADA,114990,"3.600,00","31,94",26%,"8,30","40,25","560,00","22.538,04","390,00","57,79",2X          58,
10,16,35000,LIASSON,109990,"3.600,00","30,55",26%,"7,94","38,50","560,00","21.558,04","390,00","55,28","55,50",
11,17,07622,LIASSON. CREMA,35990,"3.600,00","10,00",26%,"2,60","12,60","560,00","7.054,04","390,00","18,09","18,50",
12,19,00966,L'ATTRACTION,69990,"3.600,00","19,44",26%,"5,05","24,50","560,00","13.718,04","390,00","35,17","35,50",
13,20,21330,CONCENTRÉ TOTAL 15,114990,"3.600,00","31,94",26%,"8,30","40,25","560,00","22.538,04","390,00","57,79","58,00",
14,22,20425,BASE SOLUTIONS PRO-HIALURON.,52990,"3.600,00","14,72",26%,"3,83","18,55","560,00","10.386,04","390,00","26,63","27,00",
15,22,09675,CORRECTOR SOLUTIONS PRO-HIALURON.,26990,"3.600,00","7,50",26%,"1,95","9,45","560,00","5.290,04","390,00","13,56","14,00",
16,25,09712,POLVOS SOLUTIONS PRO-HIALURON.,64990,"3.600,00","18,05",26%,"4,69","22,75","560,00","12.738,04","390,00","32,66","33,00",
16,26,07360,LABIAL INFINI DUAL.,44990,"3.600,00","12,50",26%,"3,25","15,75","560,00","8.818,04","390,00","22,61",2X             23,
17,28,02105,LABIAL INFINI BARRA.,41990,"3.600,00","11,66",26%,"3,03","14,70","560,00","8.230,04","390,00","21,10","2X            21,5",
19,30,02133,LABIAL INFINI BARRA.,41990,"3.600,00","11,66",26%,"3,03","14,70","560,00","8.230,04","390,00","21,10","2X            21,5",
20,32,11548,"LABIAL FOREVER LÍQUIDO.    1X 22$       2X 35,5$",42990,"3.600,00","11,94",26%,"3,10","15,05","560,00","8.426,04","390,00","21,61","22,00",
20,34,07961,LABIAL FOREVER BARRA.,26990,"3.600,00","7,50",26%,"1,95","9,45","560,00","5.290,04","390,00","13,56","14,00",
21,36,20072,LABIAL FOREVER DUAL 38H.,31990,"3.600,00","8,89",26%,"2,31","11,20","560,00","6.270,04","390,00","16,08","16,50",
22,38,04536,PRO-HIALURON BALM.,24990,"3.600,00","6,94",26%,"1,80","8,75","560,00","4.898,04","390,00","12,56","13,00",
22,41,07377,MONUMENTAL LASHES. (MASCARA PARA PESTAÑAS),42990,"3.600,00","11,94",26%,"3,10","15,05","560,00","8.426,04","390,00","21,61","22,00",
22,41,35098,SET MONUMENTAL    (MASCARA + LABIAL),44990,"3.600,00","12,50",26%,"3,25","15,75","560,00","8.818,04","390,00","22,61","23,00",
23,41,07978,LABIAL FOREVER BARRA.,26990,"3.600,00","7,50",26%,"1,95","9,45","560,00","5.290,04","390,00","13,56","14,00",
24,42,06627,EXTREME LONG.,29990,"3.600,00","8,33",26%,"2,17","10,50","560,00","5.878,04","390,00","15,07","15,50",
24,42,06628,SUPREME VOLUME.,29990,"3.600,00","8,33",26%,"2,17","10,50","560,00","5.878,04","390,00","15,07","15,50",
,43,08429,LINER PRRÉCIS INTENSE,27990,"3.600,00","7,78",26%,"2,02","9,80","560,00","5.486,04","390,00","14,07","14,50",
25,44,06629,HYPER EXTENSIONS.,42990,"3.600,00","11,94",26%,"3,10","15,05","560,00","8.426,04","390,00","21,61","22,00",
26,44,01702,EFFET PARFAIT TRATAMIENTO,42990,"3.600,00","11,94",26%,"3,10","15,05","560,00","8.426,04","390,00","21,61","22,00",
26,44,06196,ESTUCHE PERFECCIONADOR PARA CEJAS Y OJOS,74990,"3.600,00","20,83",26%,"5,42","26,25","560,00","14.698,04","390,00","37,69","38,00",
27,45,20964,GEL INTENSE.,36990,"3.600,00","10,28",26%,"2,67","12,95","560,00","7.250,04","390,00","18,59","19,00",
,45,04615,LINER RÉSIST INTENSE.,36990,"3.600,00","10,28",26%,"2,67","12,95","560,00","7.250,04","390,00","18,59","19,00",
28,45,07224,BROW GEL INTENSE.,36990,"3.600,00","10,28",26%,"2,67","12,95","560,00","7.250,04","390,00","18,59","19,00",
29,46,05044,POLVOS DIVINE.,74990,"3.600,00","20,83",26%,"5,42","26,25","560,00","14.698,04","390,00","37,69","38,00",
29,47,19077,POLVOS SUELTOS EXTRA FINOS PORTABLES FPS 15.,40990,"3.600,00","11,39",26%,"2,96","14,35","560,00","8.034,04","390,00","20,60","21,00",
30,47,03450,BASE SOLUTIONS PRO-CLARITE.,59990,"3.600,00","16,66",26%,"4,33","21,00","560,00","11.758,04","390,00","30,15","30,50",
31,49,00894,BASE SOLUTIONS PRO-NUDE SKIN.,59990,"3.600,00","16,66",26%,"4,33","21,00","560,00","11.758,04","390,00","30,15","30,50",
31,50,09749,POLVOS CONCENTRÉ.,79990,"3.600,00","22,22",26%,"5,78","28,00","560,00","15.678,04","390,00","40,20","40,50",
32,51,05755,CORRECTOR CONCENTRÉ.,45990,"3.600,00","12,78",26%,"3,32","16,10","560,00","9.014,04","390,00","23,11","23,50",
32,51,01160,BASE CONCENTRÉ.,94990,"3.600,00","26,39",26%,"6,86","33,25","560,00","18.618,04","390,00","47,74","48,00",
33,51,35036,SET CONCENTRÉ.,82990,"3.600,00","23,05",26%,"5,99","29,05","560,00","16.266,04","390,00","41,71","42,00", 
34,52,09729,CORRECTOR FOREVER.,39990,"3.600,00","11,11",26%,"2,89","14,00","560,00","7.838,04","390,00","20,10","22,00",
37,52,35108,POLVOS FOREVER MATTE.,45990,"3.600,00","12,78",26%,"3,32","16,10","560,00","9.014,04","390,00","23,11","25,50",
38,54,08757,BASE FOREVER MATTE 72H.,64990,"3.600,00","18,05",26%,"4,69","22,75","560,00","12.738,04","390,00","32,66","35,50",
39,55,07346,BASE FOREVER HYDRA 90H.,44990,"3.600,00","12,50",26%,"3,25","15,75","560,00","8.818,04","390,00","22,61","25,00",
40,55,09720,POLVOS FOREVER HYDRA 36H.,41990,"3.600,00","11,66",26%,"3,03","14,70","560,00","8.230,04","390,00","21,10","23,00",
40,56,14885,RUBOR FOREVER BLUSH.,71990,"3.600,00","20,00",26%,"5,20","25,20","560,00","14.110,04","390,00","36,18","39,50",
41,56,01658,POLVOS FOREVER BRONZER.,71990,"3.600,00","20,00",26%,"5,20","25,20","560,00","14.110,04","390,00","36,18","39,50",
41,57,08130,FOREVER PRIMER,45990,"3.600,00","12,78",26%,"3,32","16,10","560,00","9.014,04","390,00","23,11","25,50",
42,58,02699,CONCENTRÉ CELL+ EDAD 30+,129990,"3.600,00","36,11",26%,"9,39","45,50","560,00","25.478,04","390,00","65,33","72,50",
42,58,35064,SET 45+,70000,"3.600,00","19,44",26%,"5,06","24,50","560,00","13.720,00","390,00","35,18","38,50",
43,58,35063,SET 30+,70000,"3.600,00","19,44",26%,"5,06","24,50","560,00","13.720,00","390,00","35,18","38,50",
43,58,02747,CONCENTRÉ CELL+ EDAD 45+,129990,"3.600,00","36,11",26%,"9,39","45,50","560,00","25.478,04","390,00","65,33","71,50",
43,59,02763,CONCENTRÉ CELL+ DÍA,129990,"3.600,00","36,11",26%,"9,39","45,50","560,00","25.478,04","390,00","65,33","71,50",
44,59,35065,SET 60+,70000,"3.600,00","19,44",26%,"5,06","24,50","560,00","13.720,00","390,00","35,18","38,50",
44,59,02753,CONCENTRÉ CELL+ EDAD 60+,129990,"3.600,00","36,11",26%,"9,39","45,50","560,00","25.478,04","390,00","65,33","71,50",
45,61,04395,CONCENTRÉ TOTAL B3 10% NIACINAMIDE PURE,94990,"3.600,00","26,39",26%,"6,86","33,25","560,00","18.618,04","390,00","47,74","52,00",
45,61,35029,CONCENTRÉ OJOS,114990,"3.600,00","31,94",26%,"8,30","40,25","560,00","22.538,04","390,00","57,79","63,00",
46,62,05019,CONCENTRÉ 10% COMPLEJO CON RETINOL,94990,"3.600,00","26,39",26%,"6,86","33,25","560,00","18.618,04","390,00","47,74","52,00",
46,63,21282,CONCENTRÉ 5X COLLAGEN BOOSTER,99990,"3.600,00","27,78",26%,"7,22","35,00","560,00","19.598,04","390,00","50,25","55,00",
46,64,06213,LUMI-AGE SUERO AM,84000,"3.600,00","23,33",26%,"6,07","29,40","560,00","16.464,00","390,00","42,22","46,00",
47,64,21399,LUMI-AGE OJOS,79990,"3.600,00","22,22",26%,"5,78","28,00","560,00","15.678,04","390,00","40,20","44,00",
47,64,35080,SET LUMI-AGE 1,110000,"3.600,00","30,56",26%,"7,94","38,50","560,00","21.560,00","390,00","55,28","60,50",
47,65,21390,LUMI-AGE ANTIEDAD AM,94000,"3.600,00","26,11",26%,"6,79","32,90","560,00","18.424,00","390,00","47,24","51,50",
47,65,10410,ESSENTIAL AGUA MICELAR EFECTO ILUMINADOR,31990,"3.600,00","8,89",26%,"2,31","11,20","560,00","6.270,04","390,00","16,08","17,50",
47,65,35030,SET LUMI-AGE 2,110000,"3.600,00","30,56",26%,"7,94","38,50","560,00","21.560,00","390,00","55,28","60,50",
47,66,08314,NOCTURNE ANTIEDAD PM,57990,"3.600,00","16,11",26%,"4,19","20,30","560,00","11.366,04","390,00","29,14","32,00",
48,66,10412,ESSENTIAL AGUA MICELAR EFECTO ANTIEDAD,28990,"3.600,00","8,05",26%,"2,09","10,15","560,00","5.682,04","390,00","14,57","16,00",
48,66,06735,NOCTURNE OJOS PM,54990,"3.600,00","15,28",26%,"3,97","19,25","560,00","10.778,04","390,00","27,64","30,00",
49,66,06739,NOCTURNE HIDRATANTE PM,44990,"3.600,00","12,50",26%,"3,25","15,75","560,00","8.818,04","390,00","22,61","25,00",
49,68,21398,SPÉCIALISTE DERMOCOSMÉTICA,94990,"3.600,00","26,39",26%,"6,86","33,25","560,00","18.618,04","390,00","47,74","52,00",
50,69,18475,SPÉCIALISTE ANTIMANCHAS DÍA,109990,"3.600,00","30,55",26%,"7,94","38,50","560,00","21.558,04","390,00","55,28","60,50",
50,69,00352,SPÉCIALISTE ANTIMANCHAS NOCHE,109990,"3.600,00","30,55",26%,"7,94","38,50","560,00","21.558,04","390,00","55,28","60,50",
51,69,35120,SET SPÉCIALISTE.,29634,"3.600,00","8,23",26%,"2,14","10,37","560,00","5.808,26","390,00","14,89","16,50",
51,70,18496,SPÉCIALISTE CONCENTRADO MATIFICANTE,109990,"3.600,00","30,55",26%,"7,94","38,50","560,00","21.558,04","390,00","55,28","60,50",
