Página,Pagina,Código,Nombre ,Precio,TASA CAMBIO PESO A DÓLAR,COSTO EN $,TT,% DE GASTOS 35%,TOTAL,TASA BINANCE,TOTAL Bs EN BINANCE,TASA BCV,PRECIO AL CATALAGO,PRECIO FINAL
2,4,775,Biomilk Crema Corporal Soy Única EDL,44.000,"3.600,00","12,22",26%,"3,18","15,40","550,00","8.470,00","395,00","21,44","21,50"
3,4,60117,Bolsa de Regalo (18x26x7 cm),1.900,"3.600,00","0,53",26%,"0,14","0,67","550,00","365,75","395,00","0,93","1,00"
4,4,6278,Hydra-Lip Líquido Satinado Soft Pink,33.000,"3.600,00","9,17",26%,"2,38","11,55","550,00","6.352,50","395,00","16,08","16,00"
5,4,770,Esmalte de Uñas Rosa Blush,18.150,"3.600,00","5,04",26%,"1,31","6,35","550,00","3.493,88","395,00","8,85","9,00"
6,4,2210,Soy Única Colonia,32.000,"3.600,00","8,89",26%,"2,31","11,20","550,00","6.160,00","395,00","15,59","16,00"
7,5,6038,YA! Labial Líquido Mate Paprika,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
8,5,43365,Aretes Lovelle Blanc,84.900,"3.600,00","23,58",26%,"6,13","29,72","550,00","16.343,25","395,00","41,38","41,50"
9,5,43364,Gargantilla Lovelle Blanc,162.900,"3.600,00","45,25",26%,"11,77","57,02","550,00","31.358,25","395,00","79,39","79,50"
10,5,2216,Xiss Love Edition,64.500,"3.600,00","17,92",26%,"4,66","22,58","550,00","12.416,25","395,00","31,43","31,50"
10,5,2217,Xool Love Edition,64.500,"3.600,00","17,92",26%,"4,66","22,58","550,00","12.416,25","395,00","31,43","31,50"
11,5,2161,Selecto Eau de Toilette,85.000,"3.600,00","23,61",26%,"6,14","29,75","550,00","16.362,50","395,00","41,42","41,50"
12,5,60116,Bolsa de Regalo Hombre (18x26x7 cm),1.900,"3.600,00","0,53",26%,"0,14","0,67","550,00","365,75","395,00","0,93","1,00"
13,5,2203,Pasión Parfum,119.500,"3.600,00","33,19",26%,"8,63","41,83","550,00","23.003,75","395,00","58,24","58,50"
14,7,2203,Pasión Parfum (Oferta Top + Regalo),119.500,"3.600,00","33,19",26%,"8,63","41,83","550,00","23.003,75","395,00","58,24","58,50"
15,7,60117,Bolsa de Regalo,1.900,"3.600,00","0,53",26%,"0,14","0,67","550,00","365,75","395,00","0,93","1,00"
16,8,2018,Ccori Rosé Parfum,143.400,"3.600,00","39,83",26%,"10,36","50,19","550,00","27.604,50","395,00","69,88","70,00"
16,8,686,Loción Perfumada Ccori Rosé,30.000,"3.600,00","8,33",26%,"2,17","10,50","550,00","5.775,00","395,00","14,62","15,00"
17,8,231,Ccori Parfum,143.400,"3.600,00","39,83",26%,"10,36","50,19","550,00","27.604,50","395,00","69,88","70,00"
19,8,454,Loción Perfumada Ccori,30.000,"3.600,00","8,33",26%,"2,17","10,50","550,00","5.775,00","395,00","14,62","15,00"
20,9,230,Gaïa Parfum (Oferta Millonaria),119.500,"3.600,00","33,19",26%,"8,63","41,83","550,00","23.003,75","395,00","58,24","58,50"
20,9,685,Loción Perfumada Gaïa,30.000,"3.600,00","8,33",26%,"2,17","10,50","550,00","5.775,00","395,00","14,62","15,00"
21,10,236,Liberatta Parfum,168.350,"3.600,00","46,76",26%,"12,16","58,92","550,00","32.407,38","395,00","82,04","82,00"
22,11,2191,Ícono Eau de Parfum,119.400,"3.600,00","33,17",26%,"8,62","41,79","550,00","22.984,50","395,00","58,19","58,50"
22,11,2202,Ícono Intense Eau de Parfum,119.400,"3.600,00","33,17",26%,"8,62","41,79","550,00","22.984,50","395,00","58,19","58,50"
22,13,79903,Set Temptation Mystic (EDP + Loción),122.500,"3.600,00","34,03",26%,"8,85","42,88","550,00","23.581,25","395,00","59,70","60,00"
23,13,233,Cielo Eau de Parfum,129.350,"3.600,00","35,93",26%,"9,34","45,27","550,00","24.899,88","395,00","63,04","63,00"
24,13,668,Jabón en Barra Perfumado Cielo,12.500,"3.600,00","3,47",26%,"0,90","4,38","550,00","2.406,25","395,00","6,09","6,50"
