codigo,catalogo,producto,descripcion,precio,pagina,descuento,tipo_oferta,imagen
15079,Cyzone,STUDIO LOOK SPRAY FIJADOR,,19,,,,
10365,Cyzone,CYPLAY HYDRA KISS.,,10.5,,,,
353227,Cyzone,ETHAN,,49.5,,,,
35247,Cyzone,SET LOOK EVALUNA 24H,,28.5,2,,,
06651,Cyzone,STUDIO LOOK MAGNETIC LASH.,,13,3,,,
10682,Cyzone,STUDIO LOOK INTENSE EYELINER.,,8,4,,,
06156,Cyzone,STUDIO LOOK INTENSE EYELINER. BLACK,,8,5,,,
09419,Cyzone,STUDIO LOOK LABIAL LÍQUIDO.,,12,6,,,
09427,Cyzone,STUDIO LOOK LABIAL LÍQUIDO. 2X,,19,7,,,
07380,Cyzone,STUDIO LOOK LABIAL LÍQUIDO MATE GLITTER.,,12,8,,,
03396,Cyzone,STUDIO LOOK LIP BALM.,,10.5,9,,,
01333,Cyzone,STUDIO LOOK MATE VELVET LIPS.,,11,10,,,
20173,Cyzone,STUDIO LOOK SUPERMATE LIPS. 2X,,14.5,10,,,
08642,Cyzone,STUDIO LOOK MATE LIP LINER.,,11,11,,,
02898,Cyzone,STUDIO LOOK VOLUMEN UP GLOSS. 2X,,14.5,12,,,
12925,Cyzone,STUDIO LOOK GLOWY STAIN.,,9.5,13,,,
17948,Cyzone,STUDIO LOOK MAX VOLUMEN LASH,,9.5,14,,,
09373,Cyzone,STUDIO LOOK STUDIO PALETTE.,,33,15,,,
06752,Cyzone,STUDIO LOOK GEL EYELINER.,,9,16,,,
07599,Cyzone,STUDIO LOOK GEL EYE PIGMENT.,,10,16,,,
03897,Cyzone,STUDIO LOOK GEL EYE PIGMENT.,,10,17,,,
04684,Cyzone,STUDIO LOOK OH MY BROW.,,12.5,19,,,
15403,Cyzone,STUDIO LOOK PRECISIÓN BROW DÚO.,,13.5,20,,,
15080,Cyzone,STUDIO LOOK CORRECTOR.,,9.5,20,,,
06522,Cyzone,STUDIO LOOK BASE MATTE FINISH. CLARO,,17,21,,,
16394,Cyzone,STUDIO LOOK RUBOR MOUSSE BLUSH.,,13,22,,,
15308,Cyzone,STUDIO LOOK POLVOS.,,14.5,22,,,
20033,Cyzone,STUDIO LOOK PRIMER FACIAL,,21.5,22,,,
06894,Cyzone,STUDIO LOOK MULTISTICK.,,18.5,23,,,
06888,Cyzone,STUDIO LOOK MULTISTICK.,,18.5,24,,,
06897,Cyzone,STUDIO LOOK MULTISTICK.,,18.5,24,,,
09774,Cyzone,STUDIO LOOK DESMAQUILLADOR BIFÁSICO,,12,25,,,
06252,Cyzone,CYPLAY CREAMY LIP BALM.,,7,26,,,
20465,Cyzone,CYPLAY HYDRA BOMB.,,5,26,,,
04901,Cyzone,CYPLAY X-TRA CREAM MATTE.,,8,27,,,
09930,Cyzone,CYPLAY ICE CREAM GLOSS.,,8,28,,,
10137,Cyzone,CYPLAY TWIST & ROLL.,,8,29,,,
05934,Cyzone,CYPLAY LINE 4 EVER PINCEL.,,11.5,29,,,
05953,Cyzone,CYPLAY LINE 4 EVER PLUMÓN. 2X,,16.5,30,,,
06416,Cyzone,CYPLAY MIX IT UP.,,8,31,,,
04745,Cyzone,CYPLAY SECRET LASH,,12,31,,,
10585,Cyzone,CY BROCHA PARA RUBOR,,7.5,32,,,
14879,Cyzone,CYPLAY SAY CHEEK!.,,10,32,,,
05710,Cyzone,CYPLAY BROW PEN.,,14,33,,,
17813,Cyzone,CYPLAY EYE LINES.,,7.5,34,,,
